"Priority","Phase","Cluster","Page type","Working title","Proposed URL","Primary intent","Parent page","Proof or original asset required","Status"
"P2","Post-90","Meta","Testing guide","How Meta creative testing works","/blog/meta-creative-testing/","Meta creative testing","/services/meta-ads/","Original test framework","Planned"
"P2","Post-90","Email","Technical guide","How list cleaning protects deliverability","/blog/email-list-cleaning-deliverability/","Email list cleaning","/services/email-marketing/","Klaviyo and Mailchimp official sources","Planned"
"P2","Post-90","Email","Technical guide","SPF, DKIM and DMARC for marketing email","/blog/spf-dkim-dmarc-marketing-email/","Email authentication guide","/services/email-marketing/","Current technical sources and diagrams","Planned"
"P2","Post-90","Software","Decision guide","When does a business need bespoke software?","/blog/when-business-needs-bespoke-software/","When to build bespoke software","/services/custom-tools/","Real workflow examples","Planned"
"P2","Post-90","Software","Comparison guide","Custom software vs off-the-shelf software","/blog/custom-vs-off-the-shelf-software/","Custom vs off the shelf software","/services/custom-tools/","Decision matrix","Planned"
"P2","Post-90","Software","Diagnostic guide","When spreadsheets become an operational risk","/blog/when-spreadsheets-become-a-risk/","Replace spreadsheets with software","/services/custom-tools/","Original risk checklist","Planned"
"P2","Post-90","Software","Cost guide","How much does bespoke business software cost?","/blog/bespoke-software-cost-uk/","Bespoke software cost UK","/services/custom-tools/","Original scope and pricing model","Planned"
"P2","Post-90","Software","Process guide","How to map a manual process before building software","/blog/map-process-before-building-software/","Map business process for software","/services/custom-tools/","Original worksheet and example","Planned"
"P2","Post-90","Software","Industry guide","How competition websites manage entries, payments and winners","/blog/competition-website-platform-guide/","Competition website development","/services/custom-web-development/","TopDraw workflow with permission","Planned"
"P3","Later","Shopify","Platform migration guide","WooCommerce to Shopify migration","/blog/woocommerce-to-shopify-migration/","WooCommerce to Shopify migration","/services/shopify-migrations/","Verified platform experience","Conditional"
"P3","Later","Shopify","Platform migration guide","Magento to Shopify migration","/blog/magento-to-shopify-migration/","Magento to Shopify migration","/services/shopify-migrations/","Verified platform experience","Conditional"
"P3","Later","Shopify","Platform migration guide","BigCommerce to Shopify migration","/blog/bigcommerce-to-shopify-migration/","BigCommerce to Shopify migration","/services/shopify-migrations/","Verified platform experience","Conditional"
"P3","Later","Shopify","Subservice page","Shopify app development","/services/shopify-app-development/","Custom Shopify app development","/services/shopify/","Multiple real apps and delivery process","Hold"
"P3","Later","Ecommerce","Subservice page","Ecommerce conversion rate optimisation","/services/conversion-rate-optimisation/","Ecommerce CRO agency","/services/ecommerce-web-design/","Repeatable methodology and verified tests","Hold"
"P3","Later","Paid","Subservice page","Google Shopping management","/services/google-shopping/","Google Shopping agency","/services/google-ads/","Multiple verified Shopping results","Hold"
